BinBase name	ret.index	quant mz	BB id	KEGG id	PubChem id	InChI	PValue	FoldChange	PValue.Adjusted
xylitol	566749	217	200524	C00379	6912	HEBKCHPVOIAQTA-NGQZWQHPSA-N	0.00575543123492853	0.461616161616162	0.0396867049333878
xanthosine	924754	325	237801	C01762	64959	UBORTCNDUKBEOP-UUOKFMHZSA-N	0.272950063388692	0.954128440366973	0.500407572787944
xanthine	702391	353	203224	C00385	1188	LRFVTYWOQMYALW-UHFFFAOYSA-N	0.000171994942057363	0.314510364546104	0.00611243563311552
valine	309905	144	227947	C00183	6287	KZSNJWFQEVHDMF-BYPYZUCNSA-N	0.299227016542758	0.800264444266367	0.521671251482091
uridine-5'-monophosphate	979035	352	270802	C00105 	6030	DJJCXFVJDGTHFX-XVFCMESISA-N	0.215919549987026	0.796747967479675	0.440410417832507
uridine	856953	258	213127	C00299	6029	DRTQHJPVMGBUCF-XVFCMESISA-N	0.225080469085461	1.61764705882353	0.451035334776978
uric acid	730534	441	304993	C00366	1175	LEHOTFFKMJEONL-UHFFFAOYSA-N	0.00471050868148129	0.694020818203825	0.0351008872716832
urea	331223	171	199770	C00086	1176	XSQUKJJJFZCRTK-UHFFFAOYSA-N	0.239184404526338	0.851542976145399	0.462103586741137
uracil	385903	99	199600	C00106	1174	ISAKRJDGNUQOIC-UHFFFAOYSA-N	0.0151832995895358	0.524960380348653	0.0701468441036554
UDP-glucuronic acid	586393	217	328006	C00167	17473	HDYANYHVCAPMJV-LXQIFKJMSA-N	0.00970949616300633	0.679324894514768	0.054364980106278
UDP GlcNAc	623732	226	227600	C00043	445675	LFTYTUAZOPRMMI-CFRASDGPSA-N	0.000491653521027089	0.386581469648562	0.0130808102305333
tyrosine	670802	218	381469	C00082	6057	OUYCCCASQSFEME-QMMMGPOBSA-N	0.167904188596674	0.736331787229843	0.360798768054248
tryptophan	779834	202	199775	C00078	6305	QIVBCDIJIAJPQS-VIFPVBQESA-N	0.808800036654745	0.913638436977345	0.920358662400227
triethanolamine	530879	262	200764	C06771	7618	GSEJCLTVZPLZKY-UHFFFAOYSA-N	0.0246594083942468	1.1906976744186	0.0999354971766844
trehalose	947837	191	199289	C01083	7427	HDTRYLNUVZCQOY-LIZSDCNHSA-N	0.0701544326040387	0.693593314763231	0.209105470084296
trans-4-hydroxyproline	460567	158	199804	C01157	5810	PMMYEEVYMWASQN-DMTCNVIQSA-N	0.00205753901532454	0.719257540603248	0.0224468932262092
tocopherol alpha	1067178	237	199211	C02477	14985	GVJHHUAWPYXKBD-IEOSBIPESA-N	4.48041792850848e-06	0.21520618556701	0.00138496652974666
thymine	420134	255	236696	C00178	1135	RWQNBRDOKXIBIV-UHFFFAOYSA-N	0.0200171232659649	0.82312925170068	0.0848432197144567
threonine	408911	117	269656	C00188	6288	AYFVYJQAPQTCCC-GBXIJSLDSA-N	0.122923451261106	0.647160826129717	0.299039217583304
threonic acid	497167	292	199262	C01620	439535	JPIJQSOTBSSVTP-UHFFFAOYSA-N	0.108512153595383	0.80079813767875	0.286472085491811
threitol	467314	217	202661	  	169019	UNXHWFMMPAWVPI-QWWZWVQMSA-N	0.855617146669486	0.928909952606635	0.931696700252085
taurine	557250	326	234595	C00245	1123	XOAAWQZATWQOTB-UHFFFAOYSA-N	0.0100579667609375	0.564478584729981	0.054364980106278
tagatose	630162	307	325185	D09007	92092	BJHIKXHVCXFQLS-PQLUHFTBSA-N	0.0106792863130813	1.39175257731959	0.0567106928349835
sucrose	916949	271	203674	C00089	5988	CZMRCDWAGMRECN-UGDNZRGBSA-N	0.832547661567471	1.20245398773006	0.927899731828286
succinic acid	370518	247	199210	C00042	1110	KDYFGRWQOYBRFD-UHFFFAOYSA-N	0.105603796345795	0.901590457256461	0.28039628684918
stigmasterol	1111133	129	321615	C05442	5280794	HCXVJBMSMIARIN-PHZDYDNGSA-N	0.322318674442213	1.04285714285714	0.539533433305444
stearic acid	787358	117	199195	C01530	5281	QIQXTHQIDYTFRH-UHFFFAOYSA-N	0.274032718431493	1.50539095482468	0.500407572787944
